reaction,direction,ReactionType,coenzyme,reaction_def
R05586,forward,KEGG,,C06715 + C00010 => C00527 + C00024
R05586,reverse,KEGG,,C00527 + C00024 => C06715 + C00010
R05587,forward,KEGG,,C09820 + C00010 => C00512 + C00091
R05587,reverse,KEGG,,C00512 + C00091 => C09820 + C00010
R05588,forward,KEGG,,C09816 + C00091 => C09817 + C00042
R05588,reverse,KEGG,,C09817 + C00042 => C09816 + C00091
R05590,forward,KEGG,,C09815 + C00001 => C00180 + C00014
R05590,reverse,KEGG,,C00180 + C00014 => C09815 + C00001
R05591,forward,KEGG,,2C00001 + C09814 => C00180 + C00014
R05591,reverse,KEGG,,C00180 + C00014 => 2C00001 + C09814
R05592,forward,KEGG,,C09813 + C00001 => C01063
R05592,reverse,KEGG,,C01063 => C09813 + C00001
R05593,reverse,KEGG,,C06714 => C09825 + C00001
R05594,reverse,KEGG,,C06714 => 2C00001 + C09821
R05595_v1,forward,KEGG (Modified),NAD/NADP,C00877 + C00001 + Z00032 => C05116 + Z00032
R05595_v1,reverse,KEGG (Modified),NAD/NADP,C05116 + Z00032 => C00877 + C00001 + Z00032
R05596_v1,reverse,KEGG (Modified),Fe,C09815 + Z00015 => C09814 + C00001 + Z00015
R05596_v2,reverse,KEGG (Modified),Co,C09815 + Z00006 => C09814 + C00001 + Z00006
R05597,forward,KEGG,,C06322 + C00001 => C06749
R05597,reverse,KEGG,,C06749 => C06322 + C00001
R05598_v1,forward,KEGG (Modified),Glycyl radical,C01455 + C00122 + Z00052 => C09816 + Z00052
R05598_v1,reverse,KEGG (Modified),Glycyl radical,C09816 + Z00052 => C01455 + C00122 + Z00052
R05599,forward,KEGG,,C09818 + C00001 => C09819
R05599,reverse,KEGG,,C09819 => C09818 + C00001
R05600,reverse,KEGG,,C09812 => C09811 + C00001
R05601,forward,KEGG,,C06723 + C00001 => C06714
R05601,reverse,KEGG,,C06714 => C06723 + C00001
R05602,reverse,KEGG,,C09824 => C06749 + C00001
R05603,forward,KEGG,,C02734 + C00011 + C00001 => C00156 + C00009
R05603,reverse,KEGG,,C00156 + C00009 => C02734 + C00011 + C00001
R05604,forward,KEGG,,C01904 + C00003 => C00310 + C00004 + C00080
R05604,reverse,KEGG,,C00310 + C00004 + C00080 => C01904 + C00003
R05605,forward,KEGG,,C04442 => C00118 + C00022
R05605,reverse,KEGG,,C00118 + C00022 => C04442
R05606_v1,forward,KEGG (Modified),Mn,C00514 + Z00030 => C00204 + C00001 + Z00030
R05606_v2,forward,KEGG (Modified),Mg,C00514 + Z00029 => C00204 + C00001 + Z00029
R05607,forward,KEGG,,C01096 + C00003 => C05345 + C00004 + C00080
R05607,reverse,KEGG,,C05345 + C00004 + C00080 => C01096 + C00003
R05608_v1,forward,KEGG (Modified),Fe,C00879 + Z00015 => C00679 + C00001 + Z00015
R05609,forward,KEGG,,C06322 => C09809
R05609,reverse,KEGG,,C09809 => C06322
R05610,forward,KEGG,,C06322 => C09810
R05610,reverse,KEGG,,C09810 => C06322
R05611,reverse,KEGG,,C04216 + C00129 => C04146 + C00013
R05612,forward,KEGG,,C01230 + C00129 => C04216 + C00013
R05613,forward,KEGG,,C04217 + C00129 => C01230 + C00013
R05615_v1,forward,KEGG (Modified),Mg,C04146 + C00156 + Z00029 => C05809 + C00013 + Z00029
R05616_v1,forward,KEGG (Modified),Mg,C01230 + C00156 + Z00029 => C13425 + C00013 + Z00029
R05618,forward,KEGG,,C05306 + C00001 => C02139 + C01389
R05619,forward,KEGG,,C09823 + C00028 => C09811 + C00030
R05620,forward,KEGG,,C09822 + C00010 + C00002 => C09823 + C00020 + C00013
R05620,reverse,KEGG,,C09823 + C00020 + C00013 => C09822 + C00010 + C00002
R05621_v1,forward,KEGG (Modified),"FAD, Fe, Flavoprotein, Generic FeS",C00180 + C00004 + C00080 + C00007 + Z00063 + Z00015 + Z00019 + Z00013 => C06321 + C00003 + Z00063 + Z00015 + Z00019 + Z00013
R05622_v1,forward,KEGG (Modified),"FAD, Fe, Flavoprotein, Generic FeS",C00180 + C00005 + C00080 + C00007 + Z00063 + Z00015 + Z00019 + Z00013 => C06321 + C00006 + Z00063 + Z00015 + Z00019 + Z00013
R05623_v1,forward,KEGG (Modified),Flavoprotein,C00565 + C00005 + C00080 + C00007 + Z00019 => C01104 + C00006 + C00001 + Z00019
R05625,forward,KEGG,,C00146 + C00002 + C00001 => C02734 + C00020 + C00009
R05626,forward,KEGG,,C00002 + C17558 => C00008 + C17556
R05626,reverse,KEGG,,C00008 + C17556 => C00002 + C17558
R05627,forward,KEGG,,C04574 + C00001 => C17556 + C00009
R05629_v1,forward,KEGG (Modified),Mn,C04702 + C17556 + Z00030 => C00105 + C04851 + Z00030
R05629_v1,reverse,KEGG (Modified),Mn,C00105 + C04851 + Z00030 => C04702 + C17556 + Z00030
R05629_v2,forward,KEGG (Modified),Mg,C04702 + C17556 + Z00029 => C00105 + C04851 + Z00029
R05629_v2,reverse,KEGG (Modified),Mg,C00105 + C04851 + Z00029 => C04702 + C17556 + Z00029
R05630_v1,forward,KEGG (Modified),Mn,C04882 + C17556 + Z00030 => C00105 + C05897 + Z00030
R05630_v1,reverse,KEGG (Modified),Mn,C00105 + C05897 + Z00030 => C04882 + C17556 + Z00030
R05630_v2,forward,KEGG (Modified),Mg,C04882 + C17556 + Z00029 => C00105 + C05897 + Z00029
R05630_v2,reverse,KEGG (Modified),Mg,C00105 + C05897 + Z00029 => C04882 + C17556 + Z00029
R05631_v1,forward,KEGG (Modified),Mn,C00203 + C04737 + Z00030 => C00015 + C03272 + Z00030
R05631_v2,forward,KEGG (Modified),Mg,C00203 + C04737 + Z00029 => C00015 + C03272 + Z00029
R05631_v3,forward,KEGG (Modified),M2,C00203 + C04737 + Z00069 => C00015 + C03272 + Z00069
R05632_v1,forward,KEGG (Modified),"FAD, Flavoprotein, Heme",C03203 + C00004 + C00080 + C00007 + Z00025 + Z00019 + Z00013 => C03012 + C00011 + C00003 + C00001 + Z00025 + Z00019 + Z00013
R05633_v1,forward,KEGG (Modified),Co,C11434 + C00063 + Z00006 => C11435 + C00013 + Z00006
R05633_v1,reverse,KEGG (Modified),Co,C11435 + C00013 + Z00006 => C11434 + C00063 + Z00006
R05633_v2,forward,KEGG (Modified),Mn,C11434 + C00063 + Z00030 => C11435 + C00013 + Z00030
R05633_v2,reverse,KEGG (Modified),Mn,C11435 + C00013 + Z00030 => C11434 + C00063 + Z00030
R05633_v3,forward,KEGG (Modified),Mg,C11434 + C00063 + Z00029 => C11435 + C00013 + Z00029
R05633_v3,reverse,KEGG (Modified),Mg,C11435 + C00013 + Z00029 => C11434 + C00063 + Z00029
R05633_v4,forward,KEGG (Modified),M2,C11434 + C00063 + Z00069 => C11435 + C00013 + Z00069
R05633_v4,reverse,KEGG (Modified),M2,C11435 + C00013 + Z00069 => C11434 + C00063 + Z00069
R05634_v1,forward,KEGG (Modified),Mn,C11435 + C00002 + Z00030 => C11436 + C00008 + Z00030
R05634_v1,reverse,KEGG (Modified),Mn,C11436 + C00008 + Z00030 => C11435 + C00002 + Z00030
R05634_v2,forward,KEGG (Modified),Mg,C11435 + C00002 + Z00029 => C11436 + C00008 + Z00029
R05634_v2,reverse,KEGG (Modified),Mg,C11436 + C00008 + Z00029 => C11435 + C00002 + Z00029
R05635_v1,forward,KEGG (Modified),Fe,C11439 + C00001 + Z00015 => C11440 + C00058 + Z00015
R05635_v2,forward,KEGG (Modified),Co,C11439 + C00001 + Z00006 => C11440 + C00058 + Z00006
R05635_v3,forward,KEGG (Modified),Zn,C11439 + C00001 + Z00054 => C11440 + C00058 + Z00054
R05636_v1,forward,KEGG (Modified),"Mg, Thiamine diphosphate",C00022 + C00118 + Z00047 + Z00029 => C11437 + C00011 + Z00047 + Z00029
R05636_v1,reverse,KEGG (Modified),"Mg, Thiamine diphosphate",C11437 + C00011 + Z00047 + Z00029 => C00022 + C00118 + Z00047 + Z00029
R05637_v1,reverse,KEGG (Modified),Mn,C11453 + C00055 + Z00030 => C11436 + Z00030
R05637_v2,reverse,KEGG (Modified),Mg,C11453 + C00055 + Z00029 => C11436 + Z00029
R05637_v3,reverse,KEGG (Modified),M2,C11453 + C00055 + Z00069 => C11436 + Z00069
R05639,forward,KEGG,,C05108 + C00006 => C11455 + C00005 + C00080
R05639,reverse,KEGG,,C11455 + C00005 + C00080 => C05108 + C00006
R05641,forward,KEGG,,C01694 + C00006 => C05440 + C00005 + C00080
R05641,reverse,KEGG,,C05440 + C00005 + C00080 => C01694 + C00006
R05642,reverse,KEGG,,C11426 => C11425
R05643,forward,KEGG,,C03057 + C00003 + C00001 => C01606 + C00004 + C00080
R05643,reverse,KEGG,,C01606 + C00004 + C00080 => C03057 + C00003 + C00001
R05644,forward,KEGG,,C00002 + C07838 => C00013 + C06397
R05644,reverse,KEGG,,C00013 + C06397 => C00002 + C07838
R05645_v1,forward,KEGG (Modified),Zn,C05382 + Z00054 => C07836 + Z00054
R05645_v1,reverse,KEGG (Modified),Zn,C07836 + Z00054 => C05382 + Z00054
R05646,forward,KEGG,,C00002 + C07836 => C00008 + C11472
R05646,reverse,KEGG,,C00008 + C11472 => C00002 + C07836
R05647_v1,forward,KEGG (Modified),Co,C11472 + C00001 + Z00006 => C07838 + C00009 + Z00006
R05647_v1,reverse,KEGG (Modified),Co,C07838 + C00009 + Z00006 => C11472 + C00001 + Z00006
R05647_v2,forward,KEGG (Modified),Mg,C11472 + C00001 + Z00029 => C07838 + C00009 + Z00029
R05647_v2,reverse,KEGG (Modified),Mg,C07838 + C00009 + Z00029 => C11472 + C00001 + Z00029
R05647_v3,forward,KEGG (Modified),Zn,C11472 + C00001 + Z00054 => C07838 + C00009 + Z00054
R05647_v3,reverse,KEGG (Modified),Zn,C07838 + C00009 + Z00054 => C11472 + C00001 + Z00054
R05648,forward,KEGG,,C11426 + C00001 => C11427 + C00022
R05648,reverse,KEGG,,C11427 + C00022 => C11426 + C00001
R05649,forward,KEGG,,C11427 + C00003 + C00001 => C03203 + C00004 + C00080
R05649,reverse,KEGG,,C03203 + C00004 + C00080 => C11427 + C00003 + C00001
R05650,forward,KEGG,,C03164 + C00007 => C11425
R05651_v1,reverse,KEGG (Modified),"Mg, Thiamine diphosphate",C00227 + C00094 + Z00047 + Z00029 => C00593 + C00009 + Z00047 + Z00029
R05652_v1,forward,KEGG (Modified),PLP,C00245 + C00022 + Z00035 => C00593 + C00041 + Z00035
R05652_v1,reverse,KEGG (Modified),PLP,C00593 + C00041 + Z00035 => C00245 + C00022 + Z00035
R05653,forward,KEGG,,C11422 + C00007 + C00004 + C00080 => C11429 + C00001 + C00003
R05654,forward,KEGG,,C11422 + C00007 + C00004 + C00080 => C11431 + C00001 + C00003
R05655,forward,KEGG,,C11422 + C00007 + C00004 + C00080 => C11432 + C00001 + C00003
R05656,reverse,KEGG,,C11432 => C11431
R05657,reverse,KEGG,,C11433 + C05693 => C11432 + C05694
R05658,reverse,KEGG,,C11428 => C11429 + C00001
R05659,forward,KEGG,,C00691 => C06891 + C00001
R05661,forward,KEGG,,C06892 + C00002 => C06893 + C00008
R05661,reverse,KEGG,,C06893 + C00008 => C06892 + C00002
R05662,forward,KEGG,,C04851 + C00043 => C05893 + C00015
R05662,reverse,KEGG,,C05893 + C00015 => C04851 + C00043
R05663,forward,KEGG,,C07214 + C00006 + C00001 => C07215 + C00005 + C00080
R05663,reverse,KEGG,,C07215 + C00005 + C00080 => C07214 + C00006 + C00001
R05664,forward,KEGG,,C07209 + C00006 + C00001 => C07211 + C00005 + C00080
R05664,reverse,KEGG,,C07211 + C00005 + C00080 => C07209 + C00006 + C00001
R05665,forward,KEGG,,C07211 + C00004 + C00007 + C00080 => C06720 + C00003
R05666_v1,forward,KEGG (Modified),"2Fe2S, Fe, Ferredoxin",C01455 + C00004 + C00080 + C00007 + Z00015 + Z00016 + Z00001 => C01468 + C00003 + C00001 + Z00015 + Z00016 + Z00001
R05668,forward,KEGG,,C00002 + C00003 => C07024 + C00004 + C00080
R05668,reverse,KEGG,,C07024 + C00004 + C00080 => C00002 + C00003
R05669,forward,KEGG,,C07024 => C07025 + C00013
R05670,reverse,KEGG,,C07026 => C07025
R05671,reverse,KEGG,,C07027 => C07026 + C00082
R05672,forward,KEGG,,C07027 + C00024 => C07028 + C00010
R05672,reverse,KEGG,,C07028 + C00010 => C07027 + C00024
R05673,forward,KEGG,,C07028 + C00019 => C07029 + C00021
R05673,reverse,KEGG,,C07029 + C00021 => C07028 + C00019
R05674,forward,KEGG,,C07029 + C00019 => C07030 + C00021
R05674,reverse,KEGG,,C07030 + C00021 => C07029 + C00019
R05676,forward,KEGG,,C07031 + C00019 => C07032 + C00021
R05676,reverse,KEGG,,C07032 + C00021 => C07031 + C00019
R05677,forward,KEGG,,C07032 + C00001 => C01610 + C00033
R05677,reverse,KEGG,,C01610 + C00033 => C07032 + C00001
R05678,forward,KEGG,,C07288 + C00003 => C07287 + C00004 + C00080
R05678,reverse,KEGG,,C07287 + C00004 + C00080 => C07288 + C00003
R05679_v1,forward,KEGG (Modified),"K, Zn",C00623 + C00003 + Z00026 + Z00054 => C00111 + C00004 + C00080 + Z00026 + Z00054
R05679_v1,reverse,KEGG (Modified),"K, Zn",C00111 + C00004 + C00080 + Z00026 + Z00054 => C00623 + C00003 + Z00026 + Z00054
R05679_v2,forward,KEGG (Modified),"K, Ni",C00623 + C00003 + Z00026 + Z00034 => C00111 + C00004 + C00080 + Z00026 + Z00034
R05679_v2,reverse,KEGG (Modified),"K, Ni",C00111 + C00004 + C00080 + Z00026 + Z00034 => C00623 + C00003 + Z00026 + Z00034
R05680_v1,forward,KEGG (Modified),"K, Zn",C00623 + C00006 + Z00026 + Z00054 => C00111 + C00005 + C00080 + Z00026 + Z00054
R05680_v1,reverse,KEGG (Modified),"K, Zn",C00111 + C00005 + C00080 + Z00026 + Z00054 => C00623 + C00006 + Z00026 + Z00054
R05680_v2,forward,KEGG (Modified),"K, Ni",C00623 + C00006 + Z00026 + Z00034 => C00111 + C00005 + C00080 + Z00026 + Z00034
R05680_v2,reverse,KEGG (Modified),"K, Ni",C00111 + C00005 + C00080 + Z00026 + Z00034 => C00623 + C00006 + Z00026 + Z00034
R05681_v1,forward,KEGG (Modified),Co,C06055 + C00003 + Z00006 => C07335 + C00004 + C00080 + Z00006
R05681_v1,reverse,KEGG (Modified),Co,C07335 + C00004 + C00080 + Z00006 => C06055 + C00003 + Z00006
R05681_v2,forward,KEGG (Modified),M2,C06055 + C00003 + Z00069 => C07335 + C00004 + C00080 + Z00069
R05681_v2,reverse,KEGG (Modified),M2,C07335 + C00004 + C00080 + Z00069 => C06055 + C00003 + Z00069
R05682,forward,KEGG,,C07326 + C00006 => C06485 + C00005 + C00080
R05682,reverse,KEGG,,C06485 + C00005 + C00080 => C07326 + C00006
R05683_v1,forward,KEGG (Modified),Zn,C00770 + C00003 + Z00054 + C00770 + C00003 + Z00054 => C01062 + C00004 + C00080 + Z00054 + C01062 + C00004 + C00080 + Z00054
R05683_v1,reverse,KEGG (Modified),Zn,C01062 + C00004 + C00080 + Z00054 + C01062 + C00004 + C00080 + Z00054 => C00770 + C00003 + Z00054 + C00770 + C00003 + Z00054
R05684_v1,forward,KEGG (Modified),Zn,C00770 + C00006 + Z00054 => C01062 + C00005 + C00080 + Z00054
R05684_v1,reverse,KEGG (Modified),Zn,C01062 + C00005 + C00080 + Z00054 => C00770 + C00006 + Z00054
R05685,forward,KEGG,,C07328 + C00003 => C07329 + C00004 + C00080
R05685,reverse,KEGG,,C07329 + C00004 + C00080 => C07328 + C00003
R05686,forward,KEGG,,C07328 + C00006 => C07329 + C00005 + C00080
R05686,reverse,KEGG,,C07329 + C00005 + C00080 => C07328 + C00006
R05687,forward,KEGG,,C07277 + C00006 => C11907 + C00005 + C00080
R05687,reverse,KEGG,,C11907 + C00005 + C00080 => C07277 + C00006
R05688_v1,forward,KEGG (Modified),Co,C11434 + C00006 + Z00006 => C11437 + C00005 + C00080 + Z00006
R05688_v1,reverse,KEGG (Modified),Co,C11437 + C00005 + C00080 + Z00006 => C11434 + C00006 + Z00006
R05688_v2,forward,KEGG (Modified),Mn,C11434 + C00006 + Z00030 => C11437 + C00005 + C00080 + Z00030
R05688_v2,reverse,KEGG (Modified),Mn,C11437 + C00005 + C00080 + Z00030 => C11434 + C00006 + Z00030
R05688_v3,forward,KEGG (Modified),Mg,C11434 + C00006 + Z00029 => C11437 + C00005 + C00080 + Z00029
R05688_v3,reverse,KEGG (Modified),Mg,C11437 + C00005 + C00080 + Z00029 => C11434 + C00006 + Z00029
R05688_v4,forward,KEGG (Modified),M2,C11434 + C00006 + Z00069 => C11437 + C00005 + C00080 + Z00069
R05688_v4,reverse,KEGG (Modified),M2,C11437 + C00005 + C00080 + Z00069 => C11434 + C00006 + Z00069
R05689,forward,KEGG,,C11496 + C00003 => C11497 + C00004 + C00080
R05689,reverse,KEGG,,C11497 + C00004 + C00080 => C11496 + C00003
R05690,forward,KEGG,,C11498 + C00003 => C11497 + C00004 + C00080
R05690,reverse,KEGG,,C11497 + C00004 + C00080 => C11498 + C00003
R05691,forward,KEGG,,C08825 + C00006 => C04453 + C00005 + C00080
R05691,reverse,KEGG,,C04453 + C00005 + C00080 => C08825 + C00006
R05692,forward,KEGG,,C00325 + C00006 => C01222 + C00005 + C00080
R05692,reverse,KEGG,,C01222 + C00005 + C00080 => C00325 + C00006
R05693,forward,KEGG,,C11499 + C00003 => C05528 + C00004 + C00080
R05693,reverse,KEGG,,C05528 + C00004 + C00080 => C11499 + C00003
R05694,forward,KEGG,,C11499 + C00006 => C05528 + C00005 + C00080
R05694,reverse,KEGG,,C05528 + C00005 + C00080 => C11499 + C00006
R05695_v1,forward,KEGG (Modified),"FAD, Flavoprotein, Heme",2C00007 + C00212 + C00001 + Z00025 + Z00019 + Z00013 => 2C00027 + C11501 + Z00025 + Z00019 + Z00013
R05696_v1,forward,KEGG (Modified),"FAD, Flavoprotein, Heme",C00212 + C00007 + Z00025 + Z00019 + Z00013 => C11500 + C00027 + Z00025 + Z00019 + Z00013
R05697_v1,forward,KEGG (Modified),"FAD, Flavoprotein, Heme",C11500 + C00007 + C00001 + Z00025 + Z00019 + Z00013 => C11501 + C00027 + Z00025 + Z00019 + Z00013
R05698,forward,KEGG,,C00392 + C00007 => C00159 + C00027
R05699,forward,KEGG,,C00755 + C00003 + C00001 => C06672 + C00004 + C00080
R05699,reverse,KEGG,,C06672 + C00004 + C00080 => C00755 + C00003 + C00001
R05700,forward,KEGG,,C02666 + C00001 + C00003 => C01494 + C00004 + C00080
R05700,reverse,KEGG,,C01494 + C00004 + C00080 => C02666 + C00001 + C00003
R05701,forward,KEGG,,C02666 + C00001 + C00006 => C01494 + C00005 + C00080
R05701,reverse,KEGG,,C01494 + C00005 + C00080 => C02666 + C00001 + C00006
R05702,forward,KEGG,,C02029 + C00006 => C00371 + C00005 + C00080
R05702,reverse,KEGG,,C00371 + C00005 + C00080 => C02029 + C00006
R05703_v1,forward,KEGG (Modified),FAD,C01189 + C00006 + Z00013 => C05439 + C00005 + C00080 + Z00013
R05703_v1,reverse,KEGG (Modified),FAD,C05439 + C00005 + C00080 + Z00013 => C01189 + C00006 + Z00013
R05704_v1,forward,KEGG (Modified),FAD,2C00028 + C00037 + Z00013 => 2C00030 + C01326 + C00011 + Z00013
R05705_v1,forward,KEGG (Modified),"FMN, Riboflavin",C01847 + C00003 + Z00040 + C01847 + C00003 + Z00040 + C01847 + C00003 + Z00014 => C00061 + C00004 + C00080 + Z00040 + C00061 + C00004 + C00080 + Z00040 + C00061 + C00004 + C00080 + Z00014
R05705_v1,reverse,KEGG (Modified),"FMN, Riboflavin",C00061 + C00004 + C00080 + Z00040 + C00061 + C00004 + C00080 + Z00040 + C00061 + C00004 + C00080 + Z00014 => C01847 + C00003 + Z00040 + C01847 + C00003 + Z00040 + C01847 + C00003 + Z00014
R05705_v2,forward,KEGG (Modified),"FAD, FMN",C01847 + C00003 + Z00014 + C01847 + C00003 + Z00014 + C01847 + C00003 + Z00013 => C00061 + C00004 + C00080 + Z00014 + C00061 + C00004 + C00080 + Z00014 + C00061 + C00004 + C00080 + Z00013
R05705_v2,reverse,KEGG (Modified),"FAD, FMN",C00061 + C00004 + C00080 + Z00014 + C00061 + C00004 + C00080 + Z00014 + C00061 + C00004 + C00080 + Z00013 => C01847 + C00003 + Z00014 + C01847 + C00003 + Z00014 + C01847 + C00003 + Z00013
R05705_v3,forward,KEGG (Modified),"FAD, NAD/NADP",C01847 + C00003 + Z00032 + C01847 + C00003 + Z00013 => C00061 + C00004 + C00080 + Z00032 + C00061 + C00004 + C00080 + Z00013
R05705_v3,reverse,KEGG (Modified),"FAD, NAD/NADP",C00061 + C00004 + C00080 + Z00032 + C00061 + C00004 + C00080 + Z00013 => C01847 + C00003 + Z00032 + C01847 + C00003 + Z00013
R05706_v1,forward,KEGG (Modified),"FAD, Riboflavin",C01847 + C00006 + Z00013 + C01847 + C00006 + Z00040 => C00061 + C00005 + C00080 + Z00013 + C00061 + C00005 + C00080 + Z00040
R05706_v1,reverse,KEGG (Modified),"FAD, Riboflavin",C00061 + C00005 + C00080 + Z00013 + C00061 + C00005 + C00080 + Z00040 => C01847 + C00006 + Z00013 + C01847 + C00006 + Z00040
R05706_v2,forward,KEGG (Modified),FMN,C01847 + C00006 + Z00014 => C00061 + C00005 + C00080 + Z00014
R05706_v2,reverse,KEGG (Modified),FMN,C00061 + C00005 + C00080 + Z00014 => C01847 + C00006 + Z00014
R05706_v3,forward,KEGG (Modified),NAD/NADP,C01847 + C00006 + Z00032 => C00061 + C00005 + C00080 + Z00032
R05706_v3,reverse,KEGG (Modified),NAD/NADP,C00061 + C00005 + C00080 + Z00032 => C01847 + C00006 + Z00032
R05707_v1,forward,KEGG (Modified),Riboflavin,C01007 + C00006 + Z00040 + C01007 + C00006 + Z00040 => C00255 + C00005 + C00080 + Z00040 + C00255 + C00005 + C00080 + Z00040
R05707_v1,reverse,KEGG (Modified),Riboflavin,C00255 + C00005 + C00080 + Z00040 + C00255 + C00005 + C00080 + Z00040 => C01007 + C00006 + Z00040 + C01007 + C00006 + Z00040
R05707_v2,forward,KEGG (Modified),FMN,C01007 + C00006 + Z00014 + C01007 + C00006 + Z00014 => C00255 + C00005 + C00080 + Z00014 + C00255 + C00005 + C00080 + Z00014
R05707_v2,reverse,KEGG (Modified),FMN,C00255 + C00005 + C00080 + Z00014 + C00255 + C00005 + C00080 + Z00014 => C01007 + C00006 + Z00014 + C01007 + C00006 + Z00014
R05707_v3,forward,KEGG (Modified),FAD,C01007 + C00006 + Z00013 + C01007 + C00006 + Z00013 => C00255 + C00005 + C00080 + Z00013 + C00255 + C00005 + C00080 + Z00013
R05707_v3,reverse,KEGG (Modified),FAD,C00255 + C00005 + C00080 + Z00013 + C00255 + C00005 + C00080 + Z00013 => C01007 + C00006 + Z00013 + C01007 + C00006 + Z00013
R05708_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C04083 + C00001 + C00028 + Z00019 + Z00013 => C00147 + C07330 + C00030 + Z00019 + Z00013
R05711,forward,KEGG,,2C00006 + C04203 + C00292 => 2C00005 + 2C00080 + C03764
R05712_v1,forward,KEGG (Modified),"Heme, Ca",2C00001 + 6C00125 + C00014 + Z00025 + Z00055 => 6C00126 + 6C00080 + C00088 + Z00025 + Z00055
R05713_v1,forward,KEGG (Modified),FAD,C03576 + C00164 + C00006 + Z00013 => C11497 + C00011 + C00005 + C00080 + Z00013
R05713_v1,reverse,KEGG (Modified),FAD,C11497 + C00011 + C00005 + C00080 + Z00013 => C03576 + C00164 + C00006 + Z00013
R05714_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C00010 + C00051 + C00006 + Z00019 + Z00013 => C00920 + C00005 + C00080 + Z00019 + Z00013
R05714_v1,reverse,KEGG (Modified),"FAD, Flavoprotein",C00920 + C00005 + C00080 + Z00019 + Z00013 => C00010 + C00051 + C00006 + Z00019 + Z00013
R05715_v1,forward,KEGG (Modified),FAD,2C06717 + C00003 + Z00013 => C11502 + C00004 + C00080 + Z00013
R05715_v1,reverse,KEGG (Modified),FAD,C11502 + C00004 + C00080 + Z00013 => 2C06717 + C00003 + Z00013
R05716_v1,forward,KEGG (Modified),FAD,2C06717 + C00006 + Z00013 => C11502 + C00005 + C00080 + Z00013
R05716_v1,reverse,KEGG (Modified),FAD,C11502 + C00005 + C00080 + Z00013 => 2C06717 + C00006 + Z00013
R05717_v1,forward,KEGG (Modified),4Fe4S,C00020 + C00094 + C00127 + Z00002 => 2C00051 + C00224 + Z00002
R05717_v1,reverse,KEGG (Modified),4Fe4S,2C00051 + C00224 + Z00002 => C00020 + C00094 + C00127 + Z00002
R05718_v1,forward,KEGG (Modified),Mn,C01595 + C00007 + Z00030 => C07338 + Z00030
R05719,forward,KEGG,,C11503 + C00007 => C05653 + C00237
R05720,forward,KEGG,,C11504 + C00007 => C06332 + C00237
R05722_v1,forward,KEGG (Modified),"Ascorbate, Fe",C02060 + C00026 + C00007 + Z00015 + Z00004 => C07343 + C00042 + C00011 + Z00015 + Z00004
R05723_v1,forward,KEGG (Modified),"Ascorbate, Fe",C05906 + C00026 + C00007 + Z00015 + Z00004 => C01617 + C00042 + C00011 + C00001 + Z00015 + Z00004
R05724_v1,forward,KEGG (Modified),"FAD, Heme",2C00533 + 2C00007 + C00004 + C00080 + Z00025 + Z00013 => 2C00244 + C00003 + Z00025 + Z00013
R05725_v1,forward,KEGG (Modified),"FAD, Heme",2C00533 + 2C00007 + C00005 + C00080 + Z00025 + Z00013 => 2C00244 + C00006 + Z00025 + Z00013
R05729_v1,forward,KEGG (Modified),"Fe, Ferredoxin",C11505 + C00004 + C00080 + C00007 + Z00015 + Z00016 => C11506 + C00003 + C00001 + Z00015 + Z00016
R05730_v1,forward,KEGG (Modified),"Fe, Ferredoxin",C11505 + C00004 + C00080 + C00007 + Z00015 + Z00016 => C11507 + C00003 + C00001 + Z00015 + Z00016
R05733_v1,forward,KEGG (Modified),Fe,2C00999 + 2C00080 + C04814 + C00007 + Z00015 => 2C00996 + 2C00001 + C11509 + Z00015
R05734_v1,forward,KEGG (Modified),Fe,2C00999 + 2C00080 + C11509 + C00007 + Z00015 => 2C00996 + C04840 + C00001 + Z00015
R05735_v1,forward,KEGG (Modified),"Fe, Mg, Zn",2C00002 + 3C00001 + C00207 + C00288 + Z00015 + Z00029 + Z00054 => 2C00020 + 4C00009 + C00164 + Z00015 + Z00029 + Z00054
R05735_v1,reverse,KEGG (Modified),"Fe, Mg, Zn",2C00020 + 4C00009 + C00164 + Z00015 + Z00029 + Z00054 => 2C00002 + 3C00001 + C00207 + C00288 + Z00015 + Z00029 + Z00054
R05739_v1,forward,KEGG (Modified),Mg,2C00138 + 2C00080 + C00114 + C00007 + Z00029 => 2C00139 + C07345 + C00001 + Z00029
R05739_v2,forward,KEGG (Modified),"2Fe2S, Fe",2C00138 + 2C00080 + C00114 + C00007 + Z00015 + Z00001 => 2C00139 + C07345 + C00001 + Z00015 + Z00001
R05740_v1,forward,KEGG (Modified),Fe,2C00999 + 2C00080 + C01595 + C00007 + Z00015 => 2C00996 + 2C00001 + C07289 + Z00015
R05741_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C07290 + C00005 + C00080 + C00007 + Z00019 + Z00013 => C07291 + C00006 + C00001 + Z00019 + Z00013
R05743_v1,reverse,KEGG (Modified),Fe,C00435 + C00027 + Z00015 => 2C00080 + C00340 + C00704 + Z00015
R05743_v2,reverse,KEGG (Modified),Cu,C00435 + C00027 + Z00070 => 2C00080 + C00340 + C00704 + Z00070
