reaction,direction,reaction_def
R00104_v2,forward,C00002 + C00003 + Z00055 => C00008 + C00006 + Z00055
R00104_v2,reverse,C00008 + C00006 + Z00055 => C00002 + C00003 + Z00055
R00104_v3,forward,C00002 + C00003 + Z00029 => C00008 + C00006 + Z00029
R00104_v3,reverse,C00008 + C00006 + Z00029 => C00002 + C00003 + Z00029
R00104_v4,forward,C00002 + C00003 + Z00069 => C00008 + C00006 + Z00069
R00104_v4,reverse,C00008 + C00006 + Z00069 => C00002 + C00003 + Z00069
R00105_v1,forward,C00002 + C00004 + Z00055 => C00008 + C00005 + Z00055
R00105_v1,reverse,C00008 + C00005 + Z00055 => C00002 + C00004 + Z00055
R00106_v1,forward,2C00923 + C00005 + Z00014 + Z00013 => 2C00924 + C00006 + C00080 + Z00014 + Z00013
R00106_v1,reverse,2C00924 + C00006 + C00080 + Z00014 + Z00013 => 2C00923 + C00005 + Z00014 + Z00013
R00108_v1,forward,2C00997 + C00005 + Z00019 + Z00013 => 2C01000 + C00006 + C00080 + Z00019 + Z00013
R00108_v1,reverse,2C01000 + C00006 + C00080 + Z00019 + Z00013 => 2C00997 + C00005 + Z00019 + Z00013
R00109_v1,forward,2C02683 + C00005 + Z00013 => 2C02685 + C00006 + C00080 + Z00013
R00109_v1,reverse,2C02685 + C00006 + C00080 + Z00013 => 2C02683 + C00005 + Z00013
R00111_v1,forward,2C05933 + 2C00007 + C00005 + C00080 + Z00025 + Z00045 + Z00001 => 2C00533 + 2C00327 + 2C00001 + C00006 + Z00025 + Z00045 + Z00001
R00111_v2,forward,2C05933 + 2C00007 + C00005 + C00080 + Z00025 + Z00014 + Z00013 + Z00045 => 2C00533 + 2C00327 + 2C00001 + C00006 + Z00025 + Z00014 + Z00013 + Z00045
R00112_v1,forward,C00005 + C00003 + Z00019 + Z00013 => C00006 + C00004 + Z00019 + Z00013
R00112_v1,reverse,C00006 + C00004 + Z00019 + Z00013 => C00005 + C00003 + Z00019 + Z00013
R00113,forward,C00027 + C00005 + C00080 => 2C00001 + C00006
R00114_v1,forward,2C00025 + C00006 + Z00067 + Z00002 + Z00014 + Z00013 => C00064 + C00026 + C00005 + C00080 + Z00067 + Z00002 + Z00014 + Z00013
R00114_v1,reverse,C00064 + C00026 + C00005 + C00080 + Z00067 + Z00002 + Z00014 + Z00013 => 2C00025 + C00006 + Z00067 + Z00002 + Z00014 + Z00013
R00115_v1,forward,2C00051 + C00006 + Z00019 + Z00013 => C00127 + C00005 + C00080 + Z00019 + Z00013
R00115_v1,reverse,C00127 + C00005 + C00080 + Z00019 + Z00013 => 2C00051 + C00006 + Z00019 + Z00013
R00118,forward,C00006 + C00001 => C00009 + C00003
R00118,reverse,C00009 + C00003 => C00006 + C00001
R00119,forward,C00006 + C00253 => C00153 + C13051
R00119,reverse,C00153 + C13051 => C00006 + C00253
R00120_v1,forward,2C00051 + C00007 + Z00019 + Z00013 => C00127 + C00027 + Z00019 + Z00013
R00122_v1,forward,C00008 + C00001 + Z00030 => C00020 + C00009 + Z00030
R00122_v1,reverse,C00020 + C00009 + Z00030 => C00008 + C00001 + Z00030
R00122_v2,forward,C00008 + C00001 + Z00055 => C00020 + C00009 + Z00055
R00122_v2,reverse,C00020 + C00009 + Z00055 => C00008 + C00001 + Z00055
R00122_v3,forward,C00008 + C00001 + Z00029 => C00020 + C00009 + Z00029
R00122_v3,reverse,C00020 + C00009 + Z00029 => C00008 + C00001 + Z00029
R00122_v4,forward,C00008 + C00001 + Z00069 => C00020 + C00009 + Z00069
R00122_v4,reverse,C00020 + C00009 + Z00069 => C00008 + C00001 + Z00069
R00123,forward,C00008 + C00001 => C00104 + C00014
R00124_v1,forward,C00002 + C00008 + Z00029 => C00008 + C00002 + Z00029
R00124_v1,reverse,C00008 + C00002 + Z00029 => C00002 + C00008 + Z00029
R00125,forward,C01260 + C00001 => 2C00008
R00126_v1,forward,C00008 + C00002 + Z00029 => C00009 + C01260 + Z00029
R00126_v1,reverse,C00009 + C01260 + Z00029 => C00008 + C00002 + Z00029
R00126_v2,forward,C00008 + C00002 + Z00069 => C00009 + C01260 + Z00069
R00126_v2,reverse,C00009 + C01260 + Z00069 => C00008 + C00002 + Z00069
R00127,forward,C00002 + C00020 => 2C00008
