Supplementary Dataset 1 - Spreadsheet F - Features of reaction sets pre and post ammonia for 144 expansion simulations - Data for generating Extended Data Fig.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Redox Potential,pH,"Seed (0=CO2, 1=Formate/Acetate)","Thioester (0=No RSH, 1=RSH)",T,CoenzymeStoich,PPE reaction proportion (pre-ammonia),PPE reaction proportion (post-ammonia),Nitrogen-containg coenzymes (pre-ammonia),Nitrogen-containg coenzymes (post-ammonia),Active Site Nitrogen (pre-ammonia),Active Site Nitrogen (post-ammonia),Whole enzyme nitrogen (pre-ammonia),Whole enzyme nitrogen (post-ammonia)
400,7,1,1,150,1,0.180811808118081,0.171428571428571,0.114391143911439,0.464285714285714,0.365853658536585,0.47,0.205084715502939,0.203623611893563
600,7,1,1,150,1,0.183520599250936,0.171428571428571,0.116104868913858,0.464285714285714,0.36491935483871,0.47,0.205077526918805,0.203623611893563
-600,7,1,0,50,1,0.190954773869347,0.130718954248366,0.0703517587939698,0.470588235294118,0.379061371841155,0.386206896551724,0.202746764639885,0.203799375286969
-400,7,1,0,50,1,0.179245283018868,0.141104294478528,0.0660377358490566,0.447852760736196,0.382826475849732,0.386206896551724,0.202662782464258,0.203749107888286
-600,7,1,0,150,1,0.143730886850153,0.142241379310345,0.0519877675840979,0.362068965517241,0.363636363636364,0.397169811320755,0.207100766267435,0.203123037943656
-400,7,1,0,150,1,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
-200,7,1,0,150,1,0.146341463414634,0.143459915611814,0.0548780487804878,0.354430379746835,0.364475201845444,0.397169811320755,0.207791075482124,0.203092680203021
-600,9,0,1,50,1,0.143187066974596,0.119565217391304,0.0877598152424942,0.347826086956522,0.366636113657195,0.487678339818418,0.203401183430267,0.202839297347328
-400,9,0,1,50,1,0.144522144522145,0.11913357400722,0.0932400932400932,0.346570397111913,0.364376130198915,0.487678339818418,0.204008715333021,0.202796247211287
-200,9,0,1,50,1,0.148717948717949,0.14018691588785,0.105128205128205,0.401869158878505,0.367101303911735,0.494464944649447,0.203675964532256,0.20314305695186
-600,9,0,1,150,1,0.131147540983607,0.12258064516129,0.0765027322404372,0.329032258064516,0.358827734095783,0.482605945604048,0.206462717281933,0.203375964007959
-400,9,0,1,150,1,0.130357142857143,0.121405750798722,0.0785714285714286,0.325878594249201,0.358156028368794,0.482605945604048,0.206406524258969,0.203349303254001
-200,9,0,1,150,1,0.132969034608379,0.138211382113821,0.0801457194899818,0.378048780487805,0.358007117437722,0.488522238163558,0.206417694468437,0.203752322782045
-600,9,1,1,50,1,0.143187066974596,0.119565217391304,0.0877598152424942,0.347826086956522,0.366636113657195,0.487678339818418,0.203401183430267,0.202839297347328
-400,9,1,1,50,1,0.144522144522145,0.11913357400722,0.0932400932400932,0.346570397111913,0.364376130198915,0.487678339818418,0.204008715333021,0.202796247211287
-200,9,1,1,50,1,0.148717948717949,0.14018691588785,0.105128205128205,0.401869158878505,0.367101303911735,0.494464944649447,0.203675964532256,0.20314305695186
0,9,1,1,50,1,0.178082191780822,0.177631578947368,0.113013698630137,0.447368421052632,0.366735537190083,0.496551724137931,0.205103041552631,0.20339333131467
-600,9,1,1,150,1,0.131147540983607,0.12258064516129,0.0765027322404372,0.329032258064516,0.358827734095783,0.482605945604048,0.206462717281933,0.203375964007959
-400,9,1,1,150,1,0.130357142857143,0.121405750798722,0.0785714285714286,0.325878594249201,0.358156028368794,0.482605945604048,0.206406524258969,0.203349303254001
-200,9,1,1,150,1,0.132969034608379,0.138211382113821,0.0801457194899818,0.378048780487805,0.358007117437722,0.488522238163558,0.206417694468437,0.203752322782045
0,9,1,1,150,1,0.130784708249497,0.138775510204082,0.0845070422535211,0.379591836734694,0.361561119293078,0.488522238163558,0.204728605485211,0.203752322782045
-600,9,1,0,50,1,0.179245283018868,0.151685393258427,0.0660377358490566,0.426966292134831,0.382826475849732,0.430769230769231,0.202662782464258,0.203475814215295
-400,9,1,0,50,1,0.19,0.173611111111111,0.075,0.451388888888889,0.380106571936057,0.427528675703858,0.203835713726196,0.204095575605261
-600,9,1,0,150,1,0.147239263803681,0.149812734082397,0.0552147239263804,0.340823970037453,0.364475201845444,0.428453267162945,0.207791075482124,0.203179506299938
-400,9,1,0,150,1,0.147239263803681,0.148698884758364,0.0552147239263804,0.338289962825279,0.364475201845444,0.428453267162945,0.207791075482124,0.203148674964636
-600,5,0,1,150,2,0.129326047358834,0.116363636363636,0.0746812386156648,0.349090909090909,0.358827734095783,0.46513249651325,0.206475649714142,0.202983821783322
