,mean_dor,ne_size,dtype
558,1.9396888848643237,382,lower
559,1.9566696301168354,390,lower
560,1.954907673507114,98,lower
561,1.9568814562862182,408,lower
562,1.9389517900656197,387,lower
563,2.0089844322862533,397,lower
564,1.9551206099041205,420,lower
565,1.9412854137302455,400,lower
566,1.984884574135275,392,lower
567,1.9458363202205564,398,lower
568,1.951810222690841,85,lower
569,1.8863337062493044,412,lower
570,1.8990396663715998,392,lower
571,1.9425917819735028,388,lower
572,1.9560750821639326,413,lower
573,1.9211579875455083,399,lower
574,1.9142857142857148,103,lower
575,1.8498554135458902,387,lower
576,1.9238252064110668,4112,lower
577,1.851311433664375,393,lower
578,1.9352846733235207,391,lower
579,1.924145008430723,412,lower
580,1.942525728240014,4102,lower
581,1.9334616413084083,397,lower
582,1.9119744607244609,106,lower
583,1.9573471781875145,83,lower
584,1.9456331053792704,393,lower
585,1.9387056374087535,390,lower
586,1.9636219894367057,399,lower
587,1.9742273321549868,4108,lower
588,1.9473174715334993,388,lower
589,1.9184494378559505,4104,lower
590,1.9383109739748738,389,lower
591,1.9515176622319481,400,lower
592,1.785421543140521,383,lower
593,1.9431620796466733,81,lower
594,1.8830667452166052,104,lower
595,1.927040668605709,386,lower
596,1.9288263775123484,4109,lower
597,1.9486550680878412,89,lower
598,1.9190487573526336,401,lower
599,1.9889437599279107,418,lower
600,1.974291383219955,396,lower
601,1.9896408151539515,64,lower
602,1.928350122877434,394,lower
603,1.882371988756517,80,lower
604,1.9471217462650032,408,lower
605,1.9526146308325703,400,lower
606,1.978604775243431,410,lower
607,1.9361493607499376,406,lower
608,1.9501222697056035,4095,lower
609,1.847945878688176,391,lower
610,1.984356205395748,397,lower
611,1.9644310583596298,418,lower
612,1.9214027443941362,389,lower
613,1.9260476969222258,391,lower
614,1.910503616651339,390,lower
615,1.8882847227209976,4116,lower
616,1.9880613390137205,86,lower
617,1.9939070409308506,78,lower
618,1.9144997392896554,389,lower
619,1.8345423051375431,395,lower
620,1.9386854076960982,397,lower
621,1.9038111540912663,4102,lower
622,1.987602428435762,384,lower
623,1.8903788425923267,394,lower
624,1.9501553340839055,399,lower
625,1.9474328407599089,409,lower
626,1.959429729818017,402,lower
627,1.920086676489547,386,lower
628,1.9131158631158631,403,lower
629,1.961560044893378,411,lower
630,1.9496085532251315,394,lower
631,1.9019257399929668,388,lower
632,1.8230219928880647,402,lower
633,1.9062633532945346,405,lower
634,1.96503549309474,394,lower
635,1.9253876717967984,396,lower
636,1.9335002385107367,403,lower
637,1.9078434817949046,80,lower
638,1.9626106036820328,389,lower
639,1.9583125933300152,75,lower
640,1.956345844946099,403,lower
641,1.973726028873088,403,lower
642,1.8335011782490775,392,lower
643,1.9261108794722241,403,lower
644,1.9377740288260128,406,lower
645,1.9446740306331318,397,lower
646,1.9487604300979653,398,lower
647,1.9744854810611114,83,lower
648,1.7688505031642288,79,lower
649,1.9538980789909066,79,lower
650,1.9240153779719602,87,lower
651,1.9316170750142878,399,lower
652,1.9453783111934222,398,lower
653,1.9541350031573814,409,lower
654,1.9639781271360217,398,lower
