i,n_swapped,n_kinases_to_ATP,n_ligases_to_ATP,swapped,n_compounds,n_reactions,R00200,R01523,R06836,R01053,R04144,R04208,R04463,R04591,R06974,R06975
646,6,3,3,"R00200,R01523,R06836,R01053,R04208,R06975",429,1206,1,1,1,1,0,1,0,0,0,1
647,6,3,3,"R00200,R01523,R06836,R01053,R04463,R04591",429,1206,1,1,1,1,0,0,1,1,0,0
648,6,3,3,"R00200,R01523,R06836,R01053,R04463,R06974",429,1206,1,1,1,1,0,0,1,0,1,0
649,6,3,3,"R00200,R01523,R06836,R01053,R04463,R06975",429,1206,1,1,1,1,0,0,1,0,0,1
650,6,3,3,"R00200,R01523,R06836,R01053,R04591,R06974",429,1206,1,1,1,1,0,0,0,1,1,0
651,6,3,3,"R00200,R01523,R06836,R01053,R04591,R06975",429,1206,1,1,1,1,0,0,0,1,0,1
652,6,3,3,"R00200,R01523,R06836,R01053,R06974,R06975",429,1206,1,1,1,1,0,0,0,0,1,1
653,6,3,3,"R00200,R01523,R06836,R04144,R04208,R04463",437,1247,1,1,1,0,1,1,1,0,0,0
654,6,3,3,"R00200,R01523,R06836,R04144,R04208,R04591",437,1247,1,1,1,0,1,1,0,1,0,0
655,6,3,3,"R00200,R01523,R06836,R04144,R04208,R06974",437,1247,1,1,1,0,1,1,0,0,1,0
656,6,3,3,"R00200,R01523,R06836,R04144,R04208,R06975",437,1247,1,1,1,0,1,1,0,0,0,1
657,6,3,3,"R00200,R01523,R06836,R04144,R04463,R04591",437,1247,1,1,1,0,1,0,1,1,0,0
658,6,3,3,"R00200,R01523,R06836,R04144,R04463,R06974",437,1247,1,1,1,0,1,0,1,0,1,0
659,6,3,3,"R00200,R01523,R06836,R04144,R04463,R06975",437,1247,1,1,1,0,1,0,1,0,0,1
660,6,3,3,"R00200,R01523,R06836,R04144,R04591,R06974",437,1247,1,1,1,0,1,0,0,1,1,0
661,6,3,3,"R00200,R01523,R06836,R04144,R04591,R06975",437,1247,1,1,1,0,1,0,0,1,0,1
662,6,3,3,"R00200,R01523,R06836,R04144,R06974,R06975",437,1247,1,1,1,0,1,0,0,0,1,1
663,6,3,3,"R00200,R01523,R06836,R04208,R04463,R04591",439,1251,1,1,1,0,0,1,1,1,0,0
664,6,3,3,"R00200,R01523,R06836,R04208,R04463,R06974",438,1249,1,1,1,0,0,1,1,0,1,0
665,6,3,3,"R00200,R01523,R06836,R04208,R04463,R06975",439,1251,1,1,1,0,0,1,1,0,0,1
666,6,3,3,"R00200,R01523,R06836,R04208,R04591,R06974",438,1249,1,1,1,0,0,1,0,1,1,0
667,6,3,3,"R00200,R01523,R06836,R04208,R04591,R06975",440,1253,1,1,1,0,0,1,0,1,0,1
668,6,3,3,"R00200,R01523,R06836,R04208,R06974,R06975",438,1249,1,1,1,0,0,1,0,0,1,1
669,6,3,3,"R00200,R01523,R06836,R04463,R04591,R06974",438,1249,1,1,1,0,0,0,1,1,1,0
670,6,3,3,"R00200,R01523,R06836,R04463,R04591,R06975",439,1251,1,1,1,0,0,0,1,1,0,1
671,6,3,3,"R00200,R01523,R06836,R04463,R06974,R06975",438,1249,1,1,1,0,0,0,1,0,1,1
672,6,3,3,"R00200,R01523,R06836,R04591,R06974,R06975",438,1249,1,1,1,0,0,0,0,1,1,1
673,6,2,4,"R00200,R01523,R01053,R04144,R04208,R04463",437,1247,1,1,0,1,1,1,1,0,0,0
674,6,2,4,"R00200,R01523,R01053,R04144,R04208,R04591",437,1247,1,1,0,1,1,1,0,1,0,0
675,6,2,4,"R00200,R01523,R01053,R04144,R04208,R06974",437,1247,1,1,0,1,1,1,0,0,1,0
676,6,2,4,"R00200,R01523,R01053,R04144,R04208,R06975",437,1247,1,1,0,1,1,1,0,0,0,1
677,6,2,4,"R00200,R01523,R01053,R04144,R04463,R04591",437,1247,1,1,0,1,1,0,1,1,0,0
678,6,2,4,"R00200,R01523,R01053,R04144,R04463,R06974",437,1247,1,1,0,1,1,0,1,0,1,0
679,6,2,4,"R00200,R01523,R01053,R04144,R04463,R06975",437,1247,1,1,0,1,1,0,1,0,0,1
680,6,2,4,"R00200,R01523,R01053,R04144,R04591,R06974",437,1247,1,1,0,1,1,0,0,1,1,0
681,6,2,4,"R00200,R01523,R01053,R04144,R04591,R06975",437,1247,1,1,0,1,1,0,0,1,0,1
682,6,2,4,"R00200,R01523,R01053,R04144,R06974,R06975",437,1247,1,1,0,1,1,0,0,0,1,1
683,6,2,4,"R00200,R01523,R01053,R04208,R04463,R04591",439,1251,1,1,0,1,0,1,1,1,0,0
684,6,2,4,"R00200,R01523,R01053,R04208,R04463,R06974",438,1249,1,1,0,1,0,1,1,0,1,0
685,6,2,4,"R00200,R01523,R01053,R04208,R04463,R06975",439,1251,1,1,0,1,0,1,1,0,0,1
686,6,2,4,"R00200,R01523,R01053,R04208,R04591,R06974",438,1249,1,1,0,1,0,1,0,1,1,0
687,6,2,4,"R00200,R01523,R01053,R04208,R04591,R06975",440,1253,1,1,0,1,0,1,0,1,0,1
688,6,2,4,"R00200,R01523,R01053,R04208,R06974,R06975",438,1249,1,1,0,1,0,1,0,0,1,1
689,6,2,4,"R00200,R01523,R01053,R04463,R04591,R06974",438,1249,1,1,0,1,0,0,1,1,1,0
690,6,2,4,"R00200,R01523,R01053,R04463,R04591,R06975",439,1251,1,1,0,1,0,0,1,1,0,1
691,6,2,4,"R00200,R01523,R01053,R04463,R06974,R06975",438,1249,1,1,0,1,0,0,1,0,1,1
692,6,2,4,"R00200,R01523,R01053,R04591,R06974,R06975",438,1249,1,1,0,1,0,0,0,1,1,1
693,6,2,4,"R00200,R01523,R04144,R04208,R04463,R04591",437,1249,1,1,0,0,1,1,1,1,0,0
694,6,2,4,"R00200,R01523,R04144,R04208,R04463,R06974",437,1249,1,1,0,0,1,1,1,0,1,0
695,6,2,4,"R00200,R01523,R04144,R04208,R04463,R06975",437,1249,1,1,0,0,1,1,1,0,0,1
696,6,2,4,"R00200,R01523,R04144,R04208,R04591,R06974",437,1249,1,1,0,0,1,1,0,1,1,0
697,6,2,4,"R00200,R01523,R04144,R04208,R04591,R06975",437,1249,1,1,0,0,1,1,0,1,0,1
698,6,2,4,"R00200,R01523,R04144,R04208,R06974,R06975",437,1249,1,1,0,0,1,1,0,0,1,1
699,6,2,4,"R00200,R01523,R04144,R04463,R04591,R06974",437,1249,1,1,0,0,1,0,1,1,1,0
700,6,2,4,"R00200,R01523,R04144,R04463,R04591,R06975",437,1249,1,1,0,0,1,0,1,1,0,1
701,6,2,4,"R00200,R01523,R04144,R04463,R06974,R06975",437,1249,1,1,0,0,1,0,1,0,1,1
702,6,2,4,"R00200,R01523,R04144,R04591,R06974,R06975",437,1249,1,1,0,0,1,0,0,1,1,1
703,6,2,4,"R00200,R01523,R04208,R04463,R04591,R06974",438,1251,1,1,0,0,0,1,1,1,1,0
704,6,2,4,"R00200,R01523,R04208,R04463,R04591,R06975",439,1253,1,1,0,0,0,1,1,1,0,1
705,6,2,4,"R00200,R01523,R04208,R04463,R06974,R06975",438,1251,1,1,0,0,0,1,1,0,1,1
706,6,2,4,"R00200,R01523,R04208,R04591,R06974,R06975",438,1251,1,1,0,0,0,1,0,1,1,1
707,6,2,4,"R00200,R01523,R04463,R04591,R06974,R06975",438,1251,1,1,0,0,0,0,1,1,1,1
708,6,2,4,"R00200,R06836,R01053,R04144,R04208,R04463",429,1210,1,0,1,1,1,1,1,0,0,0
709,6,2,4,"R00200,R06836,R01053,R04144,R04208,R04591",429,1210,1,0,1,1,1,1,0,1,0,0
710,6,2,4,"R00200,R06836,R01053,R04144,R04208,R06974",429,1210,1,0,1,1,1,1,0,0,1,0
711,6,2,4,"R00200,R06836,R01053,R04144,R04208,R06975",429,1210,1,0,1,1,1,1,0,0,0,1
712,6,2,4,"R00200,R06836,R01053,R04144,R04463,R04591",429,1210,1,0,1,1,1,0,1,1,0,0
713,6,2,4,"R00200,R06836,R01053,R04144,R04463,R06974",429,1210,1,0,1,1,1,0,1,0,1,0
714,6,2,4,"R00200,R06836,R01053,R04144,R04463,R06975",429,1210,1,0,1,1,1,0,1,0,0,1
715,6,2,4,"R00200,R06836,R01053,R04144,R04591,R06974",429,1210,1,0,1,1,1,0,0,1,1,0
716,6,2,4,"R00200,R06836,R01053,R04144,R04591,R06975",429,1210,1,0,1,1,1,0,0,1,0,1
717,6,2,4,"R00200,R06836,R01053,R04144,R06974,R06975",429,1210,1,0,1,1,1,0,0,0,1,1
718,6,2,4,"R00200,R06836,R01053,R04208,R04463,R04591",429,1210,1,0,1,1,0,1,1,1,0,0
719,6,2,4,"R00200,R06836,R01053,R04208,R04463,R06974",429,1210,1,0,1,1,0,1,1,0,1,0
720,6,2,4,"R00200,R06836,R01053,R04208,R04463,R06975",429,1210,1,0,1,1,0,1,1,0,0,1
