,stype,scope_size,expanded
1294,simple,65,False
1295,simple,381,False
1296,simple,389,False
1297,simple,67,False
1298,simple,64,False
1299,simple,65,False
1300,simple,406,False
1301,simple,60,False
1302,simple,59,False
1303,simple,384,False
1304,simple,389,False
1305,simple,89,False
1306,simple,69,False
1307,simple,389,False
1308,simple,4097,True
1309,simple,379,False
1310,simple,386,False
1311,simple,379,False
1312,simple,4095,True
1313,simple,395,False
1314,simple,387,False
1315,simple,61,False
1316,simple,382,False
1317,simple,67,False
1318,simple,387,False
1319,simple,391,False
1320,simple,4105,True
1321,simple,382,False
1322,simple,383,False
1323,simple,388,False
1324,simple,62,False
1325,simple,379,False
1326,simple,380,False
1327,simple,378,False
1328,simple,62,False
1329,simple,71,False
1330,simple,67,False
1331,simple,381,False
1332,simple,4106,True
1333,simple,378,False
1334,simple,384,False
1335,simple,65,False
1336,simple,71,False
1337,simple,386,False
1338,simple,68,False
1339,simple,81,False
1340,simple,66,False
1341,simple,379,False
1342,simple,393,False
1343,simple,384,False
1344,simple,386,False
1345,simple,376,False
1346,simple,4113,True
1347,simple,379,False
1348,simple,380,False
1349,simple,392,False
1350,simple,384,False
1351,simple,66,False
1352,simple,67,False
1353,simple,89,False
1354,simple,386,False
1355,simple,379,False
1356,simple,379,False
1357,simple,62,False
1358,simple,60,False
1359,simple,382,False
1360,simple,380,False
1361,simple,64,False
1362,simple,376,False
1363,simple,73,False
1364,simple,63,False
1365,simple,61,False
1366,simple,65,False
1367,simple,388,False
1368,simple,393,False
1369,simple,390,False
1370,simple,61,False
1371,simple,383,False
1372,simple,410,False
1373,simple,60,False
1374,simple,393,False
1375,simple,390,False
1376,simple,66,False
1377,simple,385,False
1378,simple,386,False
1379,simple,386,False
1380,simple,389,False
1381,simple,382,False
1382,simple,95,False
1383,simple,388,False
1384,simple,380,False
1385,simple,67,False
1386,simple,88,False
1387,simple,66,False
1388,simple,63,False
1389,simple,378,False
1390,simple,60,False
1391,simple,67,False
1392,simple,86,False
1393,simple,4094,True
1394,simple,387,False
1395,simple,59,False
1396,simple,63,False
1397,simple,379,False
1398,simple,387,False
1399,simple,64,False
1400,simple,391,False
1401,simple,392,False
1402,simple,67,False
1403,simple,381,False
1404,simple,66,False
1405,simple,79,False
1406,simple,65,False
1407,simple,390,False
1408,simple,66,False
1409,simple,63,False
1410,simple,385,False
1411,simple,64,False
1412,simple,59,False
1413,simple,58,False
1414,simple,64,False
1415,simple,60,False
1416,simple,381,False
1417,simple,67,False
1418,simple,4106,True
1419,simple,58,False
1420,simple,59,False
1421,simple,377,False
1422,simple,386,False
1423,simple,4111,True
1424,simple,65,False
1425,simple,386,False
1426,simple,384,False
1427,simple,381,False
1428,simple,83,False
1429,simple,62,False
1430,simple,383,False
1431,simple,386,False
1432,simple,62,False
1433,simple,58,False
1434,simple,4093,True
1435,simple,377,False
1436,simple,387,False
1437,simple,64,False
1438,simple,73,False
1439,simple,386,False
1440,simple,409,False
1441,simple,75,False
1442,simple,385,False
1443,simple,381,False
1444,simple,377,False
1445,simple,67,False
1446,simple,394,False
1447,simple,74,False
1448,simple,391,False
1449,simple,65,False
1450,simple,381,False
1451,simple,384,False
1452,simple,382,False
1453,simple,381,False
1454,simple,385,False
1455,simple,68,False
1456,simple,4106,True
1457,simple,63,False
1458,simple,385,False
1459,simple,391,False
1460,simple,384,False
1461,simple,62,False
1462,simple,70,False
1463,simple,388,False
1464,simple,82,False
1465,simple,385,False
1466,simple,391,False
1467,simple,59,False
1468,simple,388,False
1469,simple,4099,True
1470,simple,4095,True
1471,simple,382,False
1472,simple,4096,True
1473,simple,67,False
1474,simple,4098,True
1475,simple,378,False
1476,simple,64,False
1477,simple,59,False
1478,simple,68,False
1479,simple,4103,True
1480,simple,58,False
1481,simple,72,False
1482,simple,4094,True
1483,simple,61,False
1484,simple,65,False
1485,simple,387,False
1486,simple,387,False
