,rn,Fold
1170,R03291,2003
1171,R03293,129
1172,R03293,2003
1173,R01248,129
1174,R01248,2003
1175,R01251,129
1176,R01251,2003
1177,R00936,7501
1178,R00937,7501
1179,R00940,7501
1180,R02235,7501
1181,R02236,7501
1182,R11765,7501
1183,R00939,7501
1184,R01220,2003
1185,R01220,2004
1186,R01220,2007
1187,R01220,3654
1188,R01655,2003
1189,R01655,2004
1190,R01655,2007
1191,R01655,3654
1192,R00943,2003
1193,R00943,2004
1194,R00943,2007
1195,R00943,3654
1196,R00941,270
1197,R00941,7524
1198,R00941,7571
1199,R00715,2003
1200,R00715,298
1201,R02315,2003
1202,R02315,298
1203,R00707,7524
1204,R00708,7524
1205,R04444,7524
1206,R04445,7524
1207,R05051,7524
1208,R00245,7524
1209,R01218,2003
1210,R01218,2007
1211,R07168,2002
1212,R00666,2003
1213,R05706,2007
1214,R00610,2003
1215,R00610,1
1216,R00610,101
1217,R00610,304
1218,R12967,1
1219,R12967,101
1220,R12967,304
1221,R12967,2003
1222,R00610,375
1223,R12967,375
1224,R02204,2003
1225,R03831,217
1226,R03831,304
1227,R09074,2003
1228,R09074,244
1229,R03899,2003
1230,R03899,244
1231,R01564,1
1232,R01564,244
1233,R01564,304
1234,R03984,2485
1235,R04433,205
1236,R04433,244
1237,R00611,2003
1238,R00611,304
1239,R01565,1
1240,R01565,2003
1241,R01565,244
1242,R01565,304
1243,R01914,2003
1244,R01915,2003
1245,R01588,2002
1246,R01588,2003
1247,R02511,2002
1248,R02511,2003
1249,R01253,2002
1250,R04456,2007
1251,R04464,2002
1252,R00112,2003
1253,R00112,244
1254,R00112,3892
1255,R00100,1
1256,R00100,7514
1257,R00106,3687
1258,R00106,7514
1259,R05102,3687
1260,R05102,7514
1261,R08539,3687
1262,R08539,7514
1263,R08551,3687
1264,R08551,7514
1265,R11945,3456
1266,R11945,2007
1267,R11945,4272
1268,R11945,244
1269,R11945,4025
1270,R11945,2485
1271,R11945,3697
1272,R11945,4335
1273,R11945,633
1274,R11945,1001
1275,R11945,2003
1276,R11945,205
1277,R11945,221
1278,R11945,5100
1279,R11945,3281
1280,R11945,3579
1281,R11945,3843
1282,R02364,2003
1283,R02364,236
1284,R00282,2002
1285,R02964,2007
1286,R03643,2007
1287,R03816,2007
1288,R07358,2007
1289,R07359,2007
1290,R01793,2003
1291,R01794,2003
1292,R07354,2003
1293,R07355,2003
1294,R00787,2003
1295,R00787,296
1296,R00787,4294
1297,R00787,66
1298,R01134,2002
1299,R07981,230
1300,R02106,230
1301,R00790,296
1302,R00790,304
1303,R00791,1
1304,R00791,1001
1305,R00791,2003
1306,R00081,3156
1307,R00082,3156
1308,R00280,3156
1309,R00785,3156
1310,R00783,3156
1311,R00784,3156
1312,R09497,1
1313,R09497,1001
1314,R09497,2003
1315,R09497,205
1316,R09497,5069
1317,R02804,3156
1318,R02804,5
1319,R00858,1
1320,R00858,7514
1321,R00858,296
1322,R00858,304
1323,R01698,2003
1324,R01698,244
1325,R01933,2003
1326,R01933,244
1327,R03815,2003
1328,R03815,244
1329,R07618,2003
1330,R07618,244
1331,R08550,2003
1332,R08550,244
1333,R00094,2003
1334,R00094,244
1335,R00115,2003
1336,R00115,244
1337,R00900,2003
1338,R03596,2003
1339,R09372,2003
1340,R02016,2003
1341,R00528,107
1342,R00533,11
1343,R00533,221
1344,R00533,243
1345,R07176,2005
1346,R02021,2005
1347,R03600,296
1348,R03600,304
1349,R00859,296
1350,R00859,304
1351,R04927,278
1352,R04927,604
1353,R00860,278
1354,R00860,604
1355,R08553,278
1356,R08553,604
1357,R04927,205
1358,R00860,205
1359,R08553,205
1360,R04541,154
1361,R04541,304
1362,R00082,5038
1363,R00081,5038
1364,R00083,3156
1365,R00031,10
1366,R00031,146
1367,R00045,10
1368,R00045,146
1369,R00080,10
1370,R00080,146
1371,R02078,10
1372,R02078,146
1373,R00058,10
1374,R00058,146
1375,R00068,3156
1376,R11325,5069
1377,R11885,5069
1378,R11886,5069
1379,R00017,107
1380,R02596,136
1381,R03919,136
1382,R04007,136
1383,R07443,136
1384,R00602,136
1385,R03532,136
1386,R03208,136
1387,R03208,389
1388,R03539,136
1389,R03539,389
1390,R03953,136
1391,R03953,389
1392,R03973,136
1393,R03973,389
1394,R08520,136
1395,R08520,389
1396,R08521,136
1397,R08521,389
1398,R02810,136
1399,R02810,389
1400,R08523,136
1401,R08523,389
1402,R08522,136
1403,R08522,389
1404,R07034,2485
1405,R07035,2485
1406,R00274,2485
1407,R00052,7579
1408,R00644,136
1409,R09540,136
1410,R03186,136
1411,R11522,304
1412,R12454,304
1413,R12455,304
1414,R00700,244
1415,R04015,244
1416,R04015,4025
1417,R03025,244
1418,R03025,3740
1419,R03025,2007
1420,R04089,211
1421,R05295,211
1422,R05404,211
1423,R05406,211
1424,R07795,211
1425,R00816,211
1426,R03549,11
1427,R01631,11
1428,R02656,10
1429,R02519,10
1430,R02665,10
1431,R00678,4229
1432,R07864,10
1433,R07864,158
1434,R03626,10
1435,R03626,158
1436,R07869,10
1437,R07869,158
1438,R03303,2012
1439,R00893,10
1440,R01372,2002
1441,R01372,211
1442,R02521,2002
1443,R02521,211
1444,R01596,10
1445,R01596,158
1446,R00025,2002
1447,R01593,10
1448,R01593,158
1449,R08527,10
1450,R08527,158
1451,R01595,10
1452,R01595,158
1453,R03058,10
1454,R03058,158
1455,R05245,211
1456,R07827,211
1457,R03462,211
1458,R02702,4983
1459,R02909,4983
1460,R03628,4983
1461,R07362,4983
1462,R00678,4983
1463,R09601,5
1464,R00679,2003
1465,R00679,244
1466,R00449,2003
1467,R00449,244
1468,R01184,131
1469,R02397,10
1470,R02397,719
1471,R01252,10
1472,R01252,3777
1473,R03219,10
1474,R03219,3777
1475,R03451,10
1476,R03451,719
1477,R02444,10
1478,R03640,10
